Entry Time,Exit Time,Type,Points,Duration_min,Reason
2025-10-01 18:06:00+02:00,2025-10-01 18:08:00+02:00,LONG,3.0,2.0,Divergence
2025-10-01 18:12:00+02:00,2025-10-01 18:12:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 18:16:00+02:00,2025-10-01 18:16:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 18:18:00+02:00,2025-10-01 18:20:00+02:00,SHORT,7.0,2.0,Divergence
2025-10-01 18:24:00+02:00,2025-10-01 18:28:00+02:00,SHORT,-12.25,4.0,Divergence
2025-10-01 18:30:00+02:00,2025-10-01 18:30:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 18:32:00+02:00,2025-10-01 18:33:00+02:00,SHORT,1.75,1.0,Divergence
2025-10-01 18:35:00+02:00,2025-10-01 18:35:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 18:37:00+02:00,2025-10-01 18:37:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 18:39:00+02:00,2025-10-01 18:40:00+02:00,SHORT,3.0,1.0,Divergence
2025-10-01 18:42:00+02:00,2025-10-01 18:42:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 18:44:00+02:00,2025-10-01 18:45:00+02:00,LONG,-8.75,1.0,Divergence
2025-10-01 18:47:00+02:00,2025-10-01 18:49:00+02:00,LONG,2.0,2.0,Divergence
2025-10-01 18:52:00+02:00,2025-10-01 18:52:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 18:54:00+02:00,2025-10-01 18:55:00+02:00,LONG,-3.25,1.0,Divergence
2025-10-01 18:58:00+02:00,2025-10-01 18:58:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 19:03:00+02:00,2025-10-01 19:05:00+02:00,LONG,5.75,2.0,Divergence
2025-10-01 19:09:00+02:00,2025-10-01 19:10:00+02:00,SHORT,4.0,1.0,Divergence
2025-10-01 19:12:00+02:00,2025-10-01 19:13:00+02:00,LONG,-7.0,1.0,Divergence
2025-10-01 19:15:00+02:00,2025-10-01 19:17:00+02:00,SHORT,-8.25,2.0,Divergence
2025-10-01 19:19:00+02:00,2025-10-01 19:19:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 19:22:00+02:00,2025-10-01 19:22:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 19:24:00+02:00,2025-10-01 19:25:00+02:00,LONG,2.25,1.0,Divergence
2025-10-01 19:31:00+02:00,2025-10-01 19:31:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 19:34:00+02:00,2025-10-01 19:34:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 19:36:00+02:00,2025-10-01 19:36:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 19:39:00+02:00,2025-10-01 19:39:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 19:42:00+02:00,2025-10-01 19:42:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 19:44:00+02:00,2025-10-01 19:44:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 19:47:00+02:00,2025-10-01 19:48:00+02:00,LONG,-5.0,1.0,Divergence
2025-10-01 19:51:00+02:00,2025-10-01 19:51:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 19:53:00+02:00,2025-10-01 19:53:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 19:58:00+02:00,2025-10-01 19:59:00+02:00,SHORT,-3.5,1.0,Divergence
2025-10-01 20:01:00+02:00,2025-10-01 20:01:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 20:03:00+02:00,2025-10-01 20:03:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 20:06:00+02:00,2025-10-01 20:08:00+02:00,LONG,3.75,2.0,Divergence
2025-10-01 20:10:00+02:00,2025-10-01 20:10:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 20:12:00+02:00,2025-10-01 20:14:00+02:00,SHORT,-6.25,2.0,Divergence
2025-10-01 20:18:00+02:00,2025-10-01 20:18:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 20:21:00+02:00,2025-10-01 20:21:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 20:25:00+02:00,2025-10-01 20:27:00+02:00,LONG,5.75,2.0,Divergence
2025-10-01 20:31:00+02:00,2025-10-01 20:31:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 20:33:00+02:00,2025-10-01 20:35:00+02:00,SHORT,-8.0,2.0,Divergence
2025-10-01 20:41:00+02:00,2025-10-01 20:41:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 20:43:00+02:00,2025-10-01 20:44:00+02:00,LONG,-5.25,1.0,Divergence
2025-10-01 20:47:00+02:00,2025-10-01 20:47:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 20:49:00+02:00,2025-10-01 20:51:00+02:00,SHORT,-4.75,2.0,Divergence
2025-10-01 20:53:00+02:00,2025-10-01 20:53:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 20:55:00+02:00,2025-10-01 20:57:00+02:00,SHORT,-1.0,2.0,Divergence
2025-10-01 20:59:00+02:00,2025-10-01 21:00:00+02:00,SHORT,-1.0,1.0,Divergence
2025-10-01 21:02:00+02:00,2025-10-01 21:03:00+02:00,LONG,1.0,1.0,Divergence
2025-10-01 21:05:00+02:00,2025-10-01 21:05:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 21:07:00+02:00,2025-10-01 21:08:00+02:00,LONG,1.25,1.0,Divergence
2025-10-01 21:12:00+02:00,2025-10-01 21:12:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 21:14:00+02:00,2025-10-01 21:14:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 21:16:00+02:00,2025-10-01 21:17:00+02:00,LONG,-0.75,1.0,Divergence
2025-10-01 21:22:00+02:00,2025-10-01 21:23:00+02:00,SHORT,-1.25,1.0,Divergence
2025-10-01 21:25:00+02:00,2025-10-01 21:27:00+02:00,SHORT,-1.25,2.0,Divergence
2025-10-01 21:29:00+02:00,2025-10-01 21:31:00+02:00,LONG,8.25,2.0,Divergence
2025-10-01 21:35:00+02:00,2025-10-01 21:37:00+02:00,LONG,-7.25,2.0,Divergence
2025-10-01 21:41:00+02:00,2025-10-01 21:41:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 21:44:00+02:00,2025-10-01 21:44:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 21:47:00+02:00,2025-10-01 21:48:00+02:00,LONG,4.5,1.0,Divergence
2025-10-01 21:50:00+02:00,2025-10-01 21:51:00+02:00,SHORT,2.0,1.0,Divergence
2025-10-01 21:54:00+02:00,2025-10-01 21:55:00+02:00,LONG,-11.25,1.0,Divergence
2025-10-01 21:58:00+02:00,2025-10-01 21:58:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 22:01:00+02:00,2025-10-01 22:03:00+02:00,SHORT,-2.5,2.0,Divergence
2025-10-01 22:06:00+02:00,2025-10-01 22:06:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 22:09:00+02:00,2025-10-01 22:09:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 22:12:00+02:00,2025-10-01 22:19:00+02:00,LONG,2.0,7.0,Divergence
2025-10-01 22:24:00+02:00,2025-10-01 22:24:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 22:26:00+02:00,2025-10-01 22:26:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 22:28:00+02:00,2025-10-01 22:31:00+02:00,LONG,0.25,3.0,Divergence
2025-10-01 22:33:00+02:00,2025-10-01 22:33:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 22:35:00+02:00,2025-10-01 22:35:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 22:38:00+02:00,2025-10-01 22:38:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-02 00:02:00+02:00,2025-10-02 00:02:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 00:07:00+02:00,2025-10-02 00:07:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 00:12:00+02:00,2025-10-02 00:12:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-02 00:15:00+02:00,2025-10-02 00:16:00+02:00,SHORT,-0.25,1.0,Divergence
2025-10-02 00:18:00+02:00,2025-10-02 00:20:00+02:00,LONG,-3.75,2.0,Divergence
2025-10-02 00:25:00+02:00,2025-10-02 00:26:00+02:00,LONG,-0.5,1.0,Divergence
2025-10-02 00:28:00+02:00,2025-10-02 00:28:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-02 00:30:00+02:00,2025-10-02 00:30:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 00:32:00+02:00,2025-10-02 00:32:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 00:35:00+02:00,2025-10-02 00:39:00+02:00,LONG,-7.25,4.0,Divergence
